,i,rating
0,11,4
1,13,4
2,17,5
3,20,5
4,29,3
5,48,97
6,50,73
7,52,14
8,53,15
9,54,68
10,55,18
11,57,3
12,58,7
13,59,11
14,60,15
15,61,55
16,62,124
17,63,25
18,64,4
19,65,11
20,66,35
21,67,5
22,68,217
23,69,10
24,72,214
25,73,6
26,75,8
27,76,6
28,77,27
29,81,4
30,83,44
31,88,7
32,89,7
33,90,97
34,92,20
35,94,42
36,95,19
37,97,9
38,98,14
39,99,98
40,101,13
41,105,5
42,106,3
43,108,14
44,109,31
45,111,73
46,112,23
47,114,64
48,115,10
49,117,36
50,118,13
51,119,23
52,121,62
53,122,105
54,125,24
55,126,104
56,128,20
57,129,20
58,130,3
59,137,44
60,138,3
61,139,37
62,140,98
63,141,4
64,142,7
65,143,12
66,144,4
67,145,59
68,146,17
69,151,15
70,152,46
71,153,36
72,155,18
73,157,40
74,162,31
75,163,7
76,165,14
77,166,119
78,167,30
79,168,19
80,170,33
81,171,17
82,172,11
83,173,84
84,174,12
85,175,3
86,178,121
87,179,126
88,180,21
89,181,69
90,183,3
91,184,77
92,185,20
93,186,10
94,187,96
95,189,68
96,190,20
97,191,4
98,193,8
99,198,56
100,199,50
101,200,23
102,201,51
103,204,26
104,205,15
105,206,14
106,207,27
107,208,18
108,209,22
109,210,3
110,213,22
111,214,5
112,215,15
113,216,48
114,221,23
115,223,4
116,228,3
117,229,67
118,231,5
119,233,4
120,234,3
121,235,73
122,239,50
123,240,92
124,241,30
125,242,17
126,243,4
127,245,33
128,246,13
129,248,10
130,250,76
131,251,24
132,253,25
133,254,17
134,255,28
135,257,4
136,258,30
137,259,79
138,261,8
139,262,123
140,263,3
141,264,72
142,265,97
143,266,18
144,267,17
145,268,55
146,270,22
147,271,20
148,273,19
149,274,88
150,275,5
151,276,10
152,277,49
153,278,18
154,280,9
155,281,20
156,282,7
157,284,14
158,285,61
159,288,6
160,291,28
161,294,37
162,295,17
163,296,59
164,298,56
165,299,9
166,300,17
167,301,50
168,303,56
169,304,43
170,305,11
171,306,103
172,308,30
173,309,29
174,310,59
175,311,29
176,313,26
177,314,17
178,315,11
179,317,28
180,322,14
181,324,20
182,326,6
183,328,4
184,329,245
185,331,41
186,332,61
187,333,8
188,335,13
189,337,45
190,338,23
191,339,7
192,341,22
193,342,7
194,343,6
195,345,19
196,348,27
197,349,8
198,350,4
199,351,4
200,352,61
201,355,4
202,357,20
203,358,7
204,360,11
205,361,4
206,362,16
207,363,12
208,364,19
209,366,17
210,367,4
211,368,7
212,371,9
213,373,3
214,375,17
215,379,9
216,382,7
217,385,3
218,387,4
219,395,7
220,397,3
221,402,4
222,405,5
223,425,13
224,426,4
225,428,5
226,430,3
227,433,5
228,434,23
229,435,9
230,437,24
231,438,4
232,444,3
233,446,9
234,451,4
235,453,3
236,454,5
237,457,5
238,458,3
239,460,3
240,476,14
241,494,9
242,514,40
243,524,6
244,530,24
245,531,3
246,532,17
247,534,8
248,535,8
249,536,18
250,537,4
251,538,7
252,541,12
253,543,15
254,547,39
255,550,6
256,551,118
257,552,14
258,553,4
259,554,12
260,555,4
261,556,6
262,557,3
263,559,4
264,560,21
265,564,19
266,565,8
267,566,9
268,568,7
269,569,16
270,570,18
271,571,4
272,575,5
273,576,10
274,577,10
275,579,4
276,582,156
277,583,33
278,584,102
279,588,7
280,589,49
281,592,20
282,596,130
283,598,12
284,599,15
285,600,6
286,604,5
